Frame number,2594
First frame,1
Point frequency,200
Analog frequency,200

Time,RAsis,,,LAsis,,,RPsi,,,LPsi,,,RThigh1,,,RThigh2,,,RThigh3,,,RKneeOut,,,RKneeIn,,,LThigh1,,,LThigh2,,,LThigh3,,,LKneeOut,,,LKneeIn,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,14.0785,959.372,517.999,51.8462,997.721,278.929,-171.492,1028.44,419.492,-159.086,1035.6,336.993,-80.7628,731.457,541.163,-148.341,630.431,491.27,-41.5995,655.997,522.164,-90.2388,499.199,493.073,-54.2739,505.199,379.989,115.199,719.621,226.314,45.6894,790.673,177.755,35.8729,682.97,181.925,118.505,560.109,198.042,88.5105,537.694,307.853
0.005,13.7579,959.352,518.082,51.5274,997.961,279.062,-171.795,1028.43,419.707,-159.388,1035.71,337.256,-80.9874,731.424,541.185,-148.512,630.368,491.233,-41.7657,655.996,522.142,-90.3518,499.175,493.006,-54.4086,505.222,379.915,115.75,720.909,224.99,45.7919,791.793,176.95,36.4398,684.045,180.484,119.51,561.465,195.738,90.1169,538.47,305.584
0.01,13.4408,959.333,518.166,51.2086,998.2,279.194,-172.097,1028.43,419.923,-159.69,1035.81,337.519,-81.2108,731.39,541.209,-148.682,630.306,491.197,-41.9312,655.994,522.122,-90.4642,499.152,492.94,-54.5411,505.245,379.843,116.292,722.195,223.658,45.8874,792.913,176.144,36.9963,685.121,179.042,120.504,562.82,193.428,91.7129,539.244,303.308
0.015,13.1303,959.315,518.25,50.8896,998.439,279.325,-172.397,1028.42,420.14,-159.993,1035.92,337.782,-81.4319,731.356,541.236,-148.849,630.245,491.163,-42.095,655.991,522.104,-90.5752,499.13,492.875,-54.6692,505.267,379.774,116.818,723.478,222.31,45.9691,794.034,175.333,37.5327,686.198,177.597,121.474,564.175,191.11,93.288,540.016,301.021
0.02,12.8289,959.299,518.337,50.5708,998.678,279.453,-172.694,1028.42,420.359,-160.297,1036.02,338.044,-81.6497,731.32,541.267,-149.012,630.186,491.131,-42.2565,655.987,522.091,-90.6837,499.109,492.814,-54.791,505.289,379.709,117.321,724.756,220.939,46.0306,795.156,174.515,38.0398,687.276,176.149,122.41,565.528,188.78,94.8319,540.784,298.716
0.025,12.5385,959.285,518.424,50.2524,998.915,279.58,-172.987,1028.42,420.58,-160.601,1036.13,338.305,-81.8636,731.284,541.303,-149.17,630.128,491.101,-42.415,655.982,522.083,-90.789,499.089,492.756,-54.9046,505.31,379.651,117.793,726.028,219.538,46.0662,796.279,173.689,38.5095,688.355,174.696,123.3,566.878,186.432,96.3345,541.549,296.39
0.03,12.2603,959.274,518.514,49.9349,999.151,279.704,-173.276,1028.41,420.805,-160.906,1036.23,338.566,-82.0732,731.247,541.344,-149.322,630.072,491.075,-42.5698,655.976,522.081,-90.8904,499.069,492.702,-55.0083,505.332,379.598,118.231,727.292,218.104,46.071,797.403,172.854,38.9348,689.436,173.236,124.138,568.223,184.067,97.7865,542.307,294.038
0.035,11.995,959.266,518.605,49.6191,999.387,279.825,-173.559,1028.41,421.031,-161.209,1036.33,338.827,-82.2783,731.209,541.39,-149.467,630.019,491.052,-42.7205,655.97,522.087,-90.9871,499.051,492.653,-55.101,505.353,379.553,118.628,728.546,216.632,46.0406,798.525,172.008,39.3092,690.518,171.77,124.914,569.564,181.68,99.1795,543.058,291.658
