Frame number,3812
First frame,1
Point frequency,200
Analog frequency,200

Time,RAsis,,,LAsis,,,RPsi,,,LPsi,,,RThigh1,,,RThigh2,,,RThigh3,,,RKneeOut,,,RKneeIn,,,LThigh1,,,LThigh2,,,LThigh3,,,LKneeOut,,,LKneeIn,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,38.2141,999.424,40.3406,47.8348,973.724,-202.495,-162.597,1001.23,-30.9205,-163.177,1001.98,-114.746,63.3586,782.977,120.563,54.8972,656.924,102.18,135.745,734.549,95.1703,175.846,574.524,102.871,175.818,562.816,-14.9974,25.4894,651.787,-201.262,-23.2507,734.895,-248.574,-69.6973,636.405,-226.14,-34.3243,494.948,-193.66,-46.6693,502.224,-78.1505
0.005,38.1011,999.807,39.9858,47.5255,973.887,-202.812,-162.751,1000.99,-30.9956,-163.432,1001.75,-114.801,64.6139,784.147,120.528,57.3791,658.113,101.918,137.518,736.504,95.2292,179.152,577.001,103.032,179.427,565.236,-14.8648,25.3718,651.86,-201.424,-23.4435,734.927,-248.715,-69.8224,636.407,-226.185,-34.3701,494.965,-193.683,-46.5801,502.258,-78.1547
0.01,37.9881,1000.19,39.6313,47.2162,974.05,-203.129,-162.905,1000.75,-31.0702,-163.686,1001.52,-114.855,65.8676,785.319,120.494,59.8581,659.305,101.665,139.287,738.461,95.2879,182.451,579.479,103.192,183.024,567.658,-14.7312,25.2546,651.933,-201.586,-23.6358,734.958,-248.854,-69.9472,636.409,-226.23,-34.4151,494.982,-193.705,-46.4901,502.293,-78.1584
0.015,37.8755,1000.57,39.2775,46.9073,974.213,-203.446,-163.057,1000.51,-31.1442,-163.939,1001.29,-114.91,67.1184,786.493,120.46,62.3314,660.502,101.428,141.05,740.418,95.346,185.737,581.96,103.351,186.597,570.082,-14.5959,25.1384,652.006,-201.746,-23.8271,734.987,-248.992,-70.0711,636.411,-226.275,-34.4582,494.999,-193.726,-46.3983,502.328,-78.1613
0.02,37.7632,1000.94,38.9246,46.5989,974.375,-203.763,-163.206,1000.28,-31.2171,-164.189,1001.06,-114.965,68.3648,787.671,120.428,64.7959,661.706,101.214,142.804,742.377,95.4031,189.002,584.444,103.507,190.137,572.51,-14.4587,25.0237,652.078,-201.904,-24.0167,735.015,-249.126,-70.1938,636.413,-226.318,-34.4986,495.017,-193.744,-46.304,502.365,-78.163
0.025,37.6518,1001.32,38.573,46.2914,974.536,-204.078,-163.352,1000.05,-31.289,-164.437,1000.83,-115.022,69.6055,788.853,120.397,67.2485,662.918,101.031,144.545,744.337,95.459,192.241,586.933,103.66,193.633,574.942,-14.3196,24.9113,652.15,-202.058,-24.2039,735.041,-249.256,-70.3146,636.414,-226.36,-34.5354,495.035,-193.76,-46.2068,502.404,-78.1635
0.03,37.5414,1001.68,38.2233,45.9852,974.696,-204.391,-163.494,999.818,-31.3597,-164.683,1000.6,-115.079,70.8395,790.04,120.368,69.6864,664.14,100.882,146.271,746.298,95.5132,195.449,589.426,103.809,197.079,577.377,-14.1788,24.8017,652.222,-202.209,-24.3881,735.064,-249.382,-70.4329,636.415,-226.402,-34.5678,495.053,-193.773,-46.1061,502.445,-78.1626
0.035,37.4326,1002.04,37.8761,45.6806,974.854,-204.7,-163.633,999.591,-31.4292,-164.924,1000.38,-115.137,72.0657,791.231,120.342,72.1068,665.371,100.77,147.978,748.258,95.5655,198.62,591.922,103.953,200.468,579.816,-14.0368,24.6959,652.292,-202.355,-24.5684,735.085,-249.505,-70.5481,636.415,-226.442,-34.5947,495.071,-193.782,-46.0019,502.488,-78.1605
