Frame number,3102
First frame,1
Point frequency,200
Analog frequency,200

Time,RAsis,,,LAsis,,,RPsi,,,LPsi,,,RThigh1,,,RThigh2,,,RThigh3,,,RKneeOut,,,RKneeIn,,,LThigh1,,,LThigh2,,,LThigh3,,,LKneeOut,,,LKneeIn,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-5.90486,960.802,574.467,6.58643,1030.48,340.062,-199.367,1037.74,508.44,-196.395,1058.85,428.385,-81.8279,733.993,605.136,-138.191,626.987,560.718,-33.7438,664.235,583.026,-62.9621,501.974,560.602,-38.5342,510.143,443.635,65.6815,789.869,210.613,-13.299,862.835,195.087,-18.8706,757.766,169.65,67.7217,641.166,138.101,62.371,590.124,242.73
0.005,-5.96206,960.858,574.229,6.05276,1030.22,339.741,-199.634,1037.58,508.495,-196.792,1058.59,428.371,-81.4332,733.975,605.152,-137.749,626.874,560.954,-33.2973,664.292,582.84,-62.4118,501.954,560.682,-38.2549,510.136,443.682,65.4645,788.518,212.519,-13.408,861.424,196.214,-18.9855,756.178,171.49,67.505,639.195,141.216,61.8211,589.026,246.25
0.01,-6.0127,960.912,573.99,5.51988,1029.97,339.42,-199.894,1037.43,508.554,-197.185,1058.33,428.361,-81.0344,733.956,605.168,-137.306,626.762,561.191,-32.8482,664.347,582.657,-61.8613,501.933,560.762,-37.9762,510.128,443.728,65.2348,787.163,214.417,-13.5287,860.011,197.341,-19.1174,754.588,173.333,67.2695,637.224,144.329,61.2533,587.926,249.768
0.015,-6.05079,960.963,573.748,4.98858,1029.72,339.096,-200.142,1037.28,508.619,-197.57,1058.07,428.357,-80.6279,733.936,605.186,-136.86,626.652,561.43,-32.3939,664.4,582.479,-61.3103,501.911,560.842,-37.6982,510.117,443.773,64.9798,785.801,216.301,-13.672,858.596,198.467,-19.2824,752.995,175.181,66.9973,635.251,147.438,60.6504,586.822,253.277
0.02,-6.07126,961.01,573.504,4.45972,1029.47,338.771,-200.375,1037.13,508.693,-197.945,1057.82,428.362,-80.2107,733.915,605.206,-136.409,626.545,561.673,-31.9329,664.451,582.31,-60.7583,501.888,560.919,-37.4215,510.104,443.815,64.6883,784.429,218.163,-13.8482,857.179,199.593,-19.4949,751.398,177.034,66.6726,633.277,150.539,59.9959,585.712,256.776
0.025,-6.07,961.049,573.256,3.93404,1029.21,338.442,-200.586,1037,508.779,-198.306,1057.56,428.379,-79.7808,733.891,605.227,-135.954,626.441,561.917,-31.4641,664.497,582.149,-60.2051,501.863,560.994,-37.1466,510.087,443.854,64.3504,783.045,220.001,-14.0661,855.759,200.718,-19.7672,749.797,178.894,66.2815,631.303,153.633,59.275,584.595,260.261
0.03,-6.04362,961.081,573.001,3.41207,1028.96,338.109,-200.773,1036.86,508.877,-198.652,1057.32,428.409,-79.3367,733.865,605.25,-135.493,626.341,562.164,-30.9875,664.538,581.999,-59.6504,501.836,561.066,-36.8751,510.066,443.887,63.9579,781.648,221.811,-14.3327,854.337,201.843,-20.109,748.194,180.761,65.8127,629.328,156.718,58.4746,583.471,263.728
0.035,-5.98936,961.104,572.74,2.89414,1028.71,337.772,-200.934,1036.74,508.99,-198.981,1057.08,428.454,-78.877,733.836,605.272,-135.026,626.245,562.413,-30.5034,664.573,581.857,-59.0938,501.807,561.132,-36.6094,510.039,443.915,63.5044,780.237,223.592,-14.6532,852.914,202.966,-20.5276,746.591,182.634,65.2573,627.355,159.794,57.5831,582.339,267.173
