Frame number,3617
First frame,1
Point frequency,200
Analog frequency,200

Time,RAsis,,,LAsis,,,RPsi,,,LPsi,,,RThigh1,,,RThigh2,,,RThigh3,,,RKneeOut,,,RKneeIn,,,LThigh1,,,LThigh2,,,LThigh3,,,LKneeOut,,,LKneeIn,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,14.9743,952.756,362.755,27.2056,988.818,122.067,-173.515,1041.05,287.715,-170.616,1050.27,203.701,-78.6564,732.662,397.607,-151.635,631.246,363.39,-40.6108,656.795,373.778,-94.4215,499.201,358.218,-78.9957,502.551,240.063,28.3496,687.099,97.3987,-25.1459,771.817,47.1284,-59.152,668.695,58.3367,-7.82691,528.113,83.8062,-42.6508,521.758,195.343
0.005,14.7312,952.803,362.937,27.3712,988.328,122.185,-173.631,1040.92,287.398,-170.602,1049.99,203.378,-79.0446,732.586,397.782,-152.019,631.247,363.286,-41.0401,656.661,374.027,-94.7443,499.153,358.192,-79.1662,502.495,240.074,28.5038,686.614,97.5702,-24.9894,771.243,47.2061,-59.0216,668.152,58.6809,-7.76789,527.626,84.2993,-42.2179,521.443,195.862
0.01,14.4896,952.85,363.118,27.5374,987.838,122.303,-173.746,1040.78,287.081,-170.588,1049.71,203.055,-79.4318,732.511,397.957,-152.401,631.248,363.181,-41.4673,656.525,374.279,-95.0653,499.104,358.165,-79.3367,502.438,240.085,28.6591,686.129,97.7333,-24.834,770.669,47.2797,-58.8933,667.61,59.0199,-7.71028,527.139,84.7813,-41.7858,521.125,196.372
0.015,14.2512,952.898,363.297,27.7051,987.347,122.419,-173.86,1040.64,286.763,-170.573,1049.42,202.731,-79.817,732.437,398.131,-152.78,631.25,363.075,-41.8905,656.388,374.535,-95.383,499.054,358.138,-79.507,502.379,240.094,28.8165,685.642,97.8799,-24.6807,770.094,47.3455,-58.7693,667.067,59.3485,-7.65597,526.649,85.2423,-41.3555,520.803,196.866
0.02,14.0178,952.947,363.475,27.8751,986.855,122.534,-173.972,1040.49,286.445,-170.557,1049.13,202.407,-80.1986,732.364,398.304,-153.154,631.253,362.967,-42.307,656.248,374.797,-95.6958,499.004,358.11,-79.6762,502.318,240.101,28.9768,685.15,98.0028,-24.5305,769.518,47.4008,-58.6517,666.523,59.6629,-7.60756,526.157,85.6744,-40.9286,520.474,197.337
0.025,13.7916,952.997,363.65,28.0484,986.362,122.647,-174.081,1040.34,286.124,-170.539,1048.83,202.081,-80.5749,732.294,398.478,-153.521,631.257,362.857,-42.7142,656.105,375.067,-96.0028,498.952,358.083,-79.8433,502.255,240.107,29.1408,684.653,98.0963,-24.3843,768.94,47.4437,-58.5428,665.978,59.9599,-7.5683,525.659,86.072,-40.5076,520.137,197.78
0.03,13.5747,953.048,363.822,28.2264,985.867,122.757,-174.185,1040.18,285.8,-170.518,1048.52,201.753,-80.944,732.227,398.651,-153.882,631.262,362.745,-43.1087,655.959,375.345,-96.303,498.9,358.055,-80.0067,502.19,240.111,29.3088,684.146,98.1558,-24.2428,768.359,47.4737,-58.4448,665.43,60.2375,-7.54194,525.153,86.432,-40.0956,519.788,198.192
0.035,13.369,953.101,363.991,28.4106,985.369,122.864,-174.285,1040.02,285.471,-170.493,1048.2,201.42,-81.3043,732.162,398.823,-154.234,631.269,362.631,-43.4876,655.811,375.629,-96.5957,498.847,358.027,-80.1638,502.123,240.114,29.4805,683.628,98.1786,-24.1068,767.772,47.491,-58.3596,664.878,60.4945,-7.53262,524.638,86.7532,-39.6965,519.425,198.572
