Frame number,3582
First frame,1
Point frequency,200
Analog frequency,200

Time,RAsis,,,LAsis,,,RPsi,,,LPsi,,,RThigh1,,,RThigh2,,,RThigh3,,,RKneeOut,,,RKneeIn,,,LThigh1,,,LThigh2,,,LThigh3,,,LKneeOut,,,LKneeIn,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,54.8744,975.405,-141.859,49.0551,968.574,-387.715,-149.637,1015.19,-208.896,-152.89,1013.83,-292.3,-21.8237,742.991,-69.9084,-95.3323,637.663,-97.7316,15.0247,665.679,-92.3657,-33.7309,506.529,-93.7825,-30.1702,498.673,-211.183,22.6438,650.628,-395.597,-29.0558,738.06,-435.065,-73.9052,638.001,-411.596,-37.159,495.336,-385.098,-40.2283,499.028,-268.554
0.005,54.9011,975.452,-141.954,48.9632,968.509,-387.814,-149.629,1015.18,-208.978,-152.945,1013.83,-292.39,-21.5752,743.002,-70.0153,-95.0478,637.651,-97.8809,15.2813,665.683,-92.4424,-33.4461,506.511,-93.849,-29.8134,498.64,-211.29,22.3727,650.566,-395.573,-29.2404,737.947,-435.134,-74.1431,637.968,-411.659,-37.4362,495.287,-385.165,-40.6922,498.982,-268.622
0.01,54.9261,975.499,-142.05,48.8684,968.444,-387.914,-149.624,1015.17,-209.059,-153.003,1013.82,-292.479,-21.3222,743.012,-70.1231,-94.7554,637.636,-98.0304,15.5453,665.687,-92.5188,-33.1497,506.492,-93.9166,-29.4431,498.606,-211.398,22.1035,650.505,-395.548,-29.4247,737.836,-435.204,-74.3803,637.935,-411.722,-37.712,495.238,-385.233,-41.1543,498.936,-268.69
0.015,54.9477,975.547,-142.151,48.7677,968.379,-388.018,-149.622,1015.16,-209.138,-153.066,1013.82,-292.567,-21.0607,743.021,-70.2325,-94.4478,637.617,-98.1803,15.8239,665.69,-92.5943,-32.8306,506.47,-93.9866,-29.0464,498.569,-211.506,21.8375,650.446,-395.523,-29.6086,737.73,-435.275,-74.6162,637.901,-411.789,-37.9853,495.189,-385.301,-41.6126,498.891,-268.76
0.02,54.9643,975.594,-142.257,48.6585,968.314,-388.125,-149.627,1015.14,-209.216,-153.136,1013.81,-292.651,-20.7868,743.029,-70.3442,-94.1179,637.591,-98.3308,16.1239,665.693,-92.6687,-32.4783,506.444,-94.06,-28.6115,498.53,-211.615,21.5751,650.388,-395.499,-29.7922,737.63,-435.348,-74.8503,637.867,-411.859,-38.255,495.14,-385.371,-42.0653,498.848,-268.833
0.025,54.9745,975.642,-142.37,48.5382,968.249,-388.238,-149.639,1015.12,-209.29,-153.216,1013.8,-292.731,-20.4972,743.036,-70.4589,-93.7595,637.557,-98.4817,16.4515,665.695,-92.742,-32.0831,506.412,-94.138,-28.1281,498.487,-211.724,21.3162,650.332,-395.476,-29.976,737.537,-435.423,-75.0823,637.831,-411.936,-38.5204,495.09,-385.442,-42.5106,498.806,-268.91
0.03,54.977,975.69,-142.491,48.4047,968.185,-388.357,-149.66,1015.09,-209.359,-153.308,1013.78,-292.806,-20.189,743.04,-70.5772,-93.3668,637.51,-98.633,16.8122,665.696,-92.8144,-31.6365,506.373,-94.2216,-27.5875,498.44,-211.836,21.0603,650.279,-395.454,-30.1607,737.452,-435.5,-75.3119,637.795,-412.019,-38.7812,495.041,-385.517,-42.9471,498.767,-268.992
0.035,54.9706,975.738,-142.622,48.2561,968.121,-388.484,-149.691,1015.05,-209.424,-153.412,1013.75,-292.875,-19.8598,743.042,-70.6994,-92.9349,637.451,-98.7845,17.2109,665.696,-92.8863,-31.1309,506.328,-94.3117,-26.9823,498.387,-211.95,20.807,650.228,-395.436,-30.3473,737.374,-435.581,-75.5391,637.757,-412.109,-39.0372,494.992,-385.597,-43.3743,498.73,-269.08
