Frame number,2724
First frame,1
Point frequency,200
Analog frequency,200

Time,RAsis,,,LAsis,,,RPsi,,,LPsi,,,RThigh1,,,RThigh2,,,RThigh3,,,RKneeOut,,,RKneeIn,,,LThigh1,,,LThigh2,,,LThigh3,,,LKneeOut,,,LKneeIn,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-35.1483,1008.69,-36.2862,3.52688,957.274,-272.077,-219.853,1041.45,-140.321,-208.638,1029.86,-222.285,-89.575,810.733,80.6271,-116.432,684.255,69.8007,-26.421,750.467,87.8849,-24.075,589.026,123.692,22.7484,563.359,18.6143,-26.3682,650.708,-278.681,-75.0417,733.363,-325.933,-120.564,634.688,-304.85,-84.169,494.341,-274.727,-92.1929,500.19,-158.635
0.005,-35.1067,1008.66,-36.0479,3.52663,957.319,-271.879,-219.796,1041.39,-139.917,-208.671,1029.9,-221.924,-88.7984,810.079,79.9626,-115.703,683.62,68.7639,-25.6167,749.763,86.6212,-23.1736,588.057,121.6,23.2831,563.033,16.2107,-26.4673,650.756,-278.552,-75.156,733.414,-325.704,-120.667,634.782,-304.674,-84.3148,494.379,-274.631,-92.3102,500.163,-158.533
0.01,-35.0628,1008.63,-35.8115,3.52768,957.365,-271.684,-219.737,1041.34,-139.513,-208.702,1029.94,-221.563,-88.0227,809.424,79.2975,-114.979,682.985,67.7259,-24.8166,749.054,85.3555,-22.2798,587.087,119.507,23.8061,562.703,13.8055,-26.5648,650.803,-278.425,-75.2691,733.466,-325.477,-120.771,634.875,-304.499,-84.4587,494.418,-274.537,-92.4229,500.137,-158.431
0.015,-35.0148,1008.59,-35.5789,3.53118,957.41,-271.491,-219.674,1041.28,-139.11,-208.73,1029.97,-221.202,-87.2486,808.765,78.631,-114.267,682.348,66.6854,-24.0248,748.34,84.0863,-21.4011,586.117,117.41,24.3063,562.365,11.397,-26.6589,650.849,-278.298,-75.3798,733.519,-325.253,-120.872,634.964,-304.326,-84.5989,494.457,-274.443,-92.5278,500.114,-158.331
0.02,-34.9607,1008.56,-35.3514,3.53798,957.454,-271.303,-219.607,1041.22,-138.708,-208.753,1030.01,-220.843,-86.4772,808.102,77.9622,-113.57,681.709,65.6411,-23.2449,747.617,82.8119,-20.5435,585.144,115.308,24.7737,562.015,8.98411,-26.748,650.893,-278.173,-75.4868,733.573,-325.032,-120.971,635.05,-304.156,-84.7336,494.496,-274.35,-92.6234,500.092,-158.233
0.025,-34.8991,1008.52,-35.1302,3.54859,957.499,-271.121,-219.533,1041.17,-138.307,-208.77,1030.04,-220.484,-85.7099,807.433,77.2902,-112.893,681.068,64.5916,-22.4804,746.883,81.5312,-19.7126,584.17,113.201,25.1994,561.65,6.56563,-26.8303,650.936,-278.05,-75.5887,733.628,-324.817,-121.066,635.132,-303.988,-84.8611,494.534,-274.259,-92.7097,500.073,-158.138
0.03,-34.8287,1008.47,-34.916,3.56323,957.544,-270.944,-219.452,1041.11,-137.907,-208.78,1030.07,-220.128,-84.9484,806.758,76.6144,-112.242,680.424,63.5357,-21.7343,746.138,80.2431,-18.9123,583.194,111.085,25.5754,561.268,4.14089,-26.904,650.976,-277.928,-75.6837,733.686,-324.608,-121.155,635.208,-303.824,-84.9797,494.572,-274.17,-92.7867,500.057,-158.044
0.035,-34.7491,1008.41,-34.709,3.58205,957.588,-270.772,-219.364,1041.05,-137.511,-208.782,1030.1,-219.774,-84.1945,806.076,75.9341,-111.618,679.777,62.472,-21.0091,745.379,78.9469,-18.1458,582.216,108.962,25.8952,560.867,1.70928,-26.9674,651.014,-277.809,-75.7696,733.746,-324.404,-121.237,635.278,-303.664,-85.0879,494.61,-274.083,-92.8545,500.042,-157.953
